sourceMac,typeNr,subTypeNr,seqNr,retryFlag,measurementTimestamp,droneId,signal
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452777,India,-73
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452777,November,-65
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136452783,Papa,-46
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452784,Mike,-62
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452785,Romeo,-71
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136452787,India,-73
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136452787,November,-64
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452793,Quebec,-50
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136452794,Romeo,-69
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136452794,Mike,-62
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136452803,Quebec,-48
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452808,Alpha,-71
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136452818,Alpha,-72
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452834,Kilo,-64
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136452844,Kilo,-64
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497760,Hotel,-59
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497760,Oscar,-70
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497765,Papa,-67
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497768,Lima,-66
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497769,November,-49
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497770,India,-70
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136497770,Oscar,-69
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136497770,Hotel,-59
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136497775,Papa,-68
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497777,Mike,-75
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497777,Romeo,-51
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136497778,Lima,-68
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136497779,November,-49
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136497780,India,-71
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497785,Quebec,-65
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136497787,Mike,-81
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136497787,Romeo,-52
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136497796,Quebec,-66
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497801,Alpha,-61
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136497827,Kilo,-61
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136497837,Kilo,-60
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136539690,Hotel,-64
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136539691,Oscar,-78
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136539695,Papa,-80
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136539698,Lima,-73
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136539700,November,-54
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136539700,India,-78
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136539701,Oscar,-78
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136539701,Hotel,-65
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136539705,Papa,-80
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136539707,Mike,-86
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136539707,Romeo,-84
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136539708,Lima,-73
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136539710,India,-78
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136539710,November,-53
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136539716,Quebec,-74
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136539717,Romeo,-85
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136539717,Mike,-83
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136539726,Quebec,-73
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136539757,Kilo,-81
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136539767,Kilo,-83
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136584681,Oscar,-77
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2060,0,1423136584681,Hotel,-65
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2316,0,1423136584690,Hotel,-66
